RESULTADOS DETALLADOS DE PRUEBA DE CARGA
======================================================================

Fecha: 2026-01-21 01:34:23
URL: https://web-production-299e4.up.railway.app
Usuarios: 500
Tiempo total: 29.49s
Exitosas: 500
Fallidas: 0

RESULTADOS POR USUARIO:
----------------------------------------------------------------------
✓ TEST0031: 2.742s
✓ TEST0010: 2.858s
✓ TEST0021: 2.873s
✓ TEST0043: 2.858s
✓ TEST0013: 2.883s
✓ TEST0030: 2.875s
✓ TEST0040: 2.868s
✓ TEST0016: 2.889s
✓ TEST0044: 2.893s
✓ TEST0012: 2.941s
✓ TEST0009: 2.947s
✓ TEST0037: 2.924s
✓ TEST0005: 2.951s
✓ TEST0020: 2.939s
✓ TEST0022: 2.943s
✓ TEST0045: 2.928s
✓ TEST0019: 2.956s
✓ TEST0046: 2.936s
✓ TEST0039: 2.957s
✓ TEST0038: 2.960s
✓ TEST0027: 2.970s
✓ TEST0003: 2.993s
✓ TEST0007: 2.999s
✓ TEST0050: 2.968s
✓ TEST0048: 2.971s
✓ TEST0034: 2.983s
✓ TEST0041: 2.982s
✓ TEST0042: 2.987s
✓ TEST0025: 3.009s
✓ TEST0047: 2.993s
✓ TEST0008: 3.034s
✓ TEST0015: 3.024s
✓ TEST0033: 3.010s
✓ TEST0032: 3.011s
✓ TEST0002: 3.045s
✓ TEST0014: 3.032s
✓ TEST0028: 3.022s
✓ TEST0004: 3.051s
✓ TEST0017: 3.044s
✓ TEST0036: 3.052s
✓ TEST0035: 3.052s
✓ TEST0023: 3.078s
✓ TEST0024: 3.081s
✓ TEST0049: 3.057s
✓ TEST0018: 3.091s
✓ TEST0001: 3.097s
✓ TEST0011: 3.092s
✓ TEST0026: 3.089s
✓ TEST0029: 3.084s
✓ TEST0006: 3.183s
✓ TEST0051: 1.495s
✓ TEST0055: 2.419s
✓ TEST0059: 2.431s
✓ TEST0066: 2.492s
✓ TEST0098: 2.342s
✓ TEST0058: 2.553s
✓ TEST0076: 2.450s
✓ TEST0062: 2.507s
✓ TEST0057: 2.562s
✓ TEST0096: 2.360s
✓ TEST0052: 2.606s
✓ TEST0056: 2.579s
✓ TEST0064: 2.643s
✓ TEST0061: 2.648s
✓ TEST0088: 2.577s
✓ TEST0053: 2.739s
✓ TEST0074: 2.622s
✓ TEST0065: 2.671s
✓ TEST0071: 2.642s
✓ TEST0070: 2.651s
✓ TEST0094: 2.581s
✓ TEST0083: 2.648s
✓ TEST0068: 2.716s
✓ TEST0087: 2.641s
✓ TEST0075: 2.679s
✓ TEST0069: 2.712s
✓ TEST0072: 2.704s
✓ TEST0081: 2.668s
✓ TEST0086: 2.660s
✓ TEST0082: 2.671s
✓ TEST0063: 2.759s
✓ TEST0060: 2.820s
✓ TEST0054: 2.879s
